"container_count","privileged_count","run_as_root_count","effective_root_count","run_as_nonroot_count","allow_priv_esc_count","readonly_rootfs_count","capabilities_added_count","capabilities_drop_all_count","host_network","host_pid","host_ipc","hostport_count","cpu_limit_missing","memory_limit_missing","service_account_token","hostpath_count","seccomp_runtime_default","run_as_group_missing","network_policy_present","label"
"1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1"
"1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1"
"1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1"
"1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1"
"1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1"
"2","0","0","0","2","0","2","0","2","0","0","0","0","0","0","0","0","1","0","1","1"
"1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1"
"1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1"
"1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1"
"1","0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0"
"1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","3","0","1","0","0"
"2","0","0","2","0","2","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0"
"1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"1","1","0","1","0","1","0","0","0","0","1","1","0","0","0","1","1","0","1","0","0"
"1","0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0"
