"namespace","deployment","label","container_count","privileged_count","run_as_root_count","effective_root_count","run_as_nonroot_count","allow_priv_esc_count","readonly_rootfs_count","capabilities_added_count","capabilities_drop_all_count","host_network","host_pid","host_ipc","hostport_count","cpu_limit_missing","memory_limit_missing","service_account_token","hostpath_count","seccomp_runtime_default","run_as_group_missing","network_policy_present"
"security-lab","secure-app","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1"
"security-lab","secure-build-code","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1"
"security-lab","secure-goat-home","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1"
"security-lab","secure-health-check","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1"
"security-lab","secure-hunger-check","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1"
"security-lab","secure-internal-proxy","1","2","0","0","0","2","0","2","0","2","0","0","0","0","0","0","0","0","1","0","1"
"security-lab","secure-metadata-db","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1"
"security-lab","secure-poor-registry","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1"
"security-lab","secure-system-monitor","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1"
"big-monolith","hunger-check-deployment","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","1","0"
"default","build-code-deployment","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"default","health-check-deployment","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","3","0","1","0"
"default","internal-proxy-deployment","0","2","0","0","2","0","2","0","0","0","0","0","0","0","0","0","1","0","0","2","0"
"default","kubernetes-goat-home-deployment","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"default","metadata-db","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"default","poor-registry-deployment","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"default","system-monitor-deployment","0","1","1","0","1","0","1","0","0","0","0","1","1","0","0","0","1","1","0","1","0"
"secure-middleware","cache-store-deployment","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","1","0"
