"variant","mutation","label"
"V01","Secure baseline","1"
"V02","Enable privilege escalation","0"
"V03","Run container as root","0"
"V04","Disable read-only root filesystem","0"
"V05","Do not drop ALL capabilities","0"
"V06","Enable hostPID","0"
"V07","Enable hostIPC","0"
"V08","Add hostPath volume","0"
"V09","Enable service-account token automount","0"
"V10","Remove CPU limit","0"
"V11","Remove memory limit","0"
"V12","Remove RuntimeDefault seccomp","0"
"V13","Remove NetworkPolicy","0"
"V14","Root plus privilege escalation","0"
"V15","Root plus hostPID","0"
"V16","Root plus hostPath","0"
"V17","No resource limits plus service token","0"
"V18","Privilege escalation plus hostPID","0"
"V19","Read-write filesystem plus service token","0"
"V20","Secure two-container baseline","1"
